working_capacity_0,working_capacity_1,working_capacity_2,working_capacity_3,fish_production_capacity_0,fish_production_capacity_1,crop_production_capacity_0,crop_production_capacity_1,crop_production_capacity_2,meat_production_capacity_0,meat_production_capacity_1,biodiversity_0,biodiversity_1,abiotic_resources_0,abiotic_resources_1,water_production_capacity_(drinking_water_&_irrigation_water)_0,water_production_capacity_(drinking_water_&_irrigation_water)_1,water_production_capacity_(drinking_water_&_irrigation_water)_2,Year,Company Name,target
69,39,394.0,445.7999546896239,1,763.0,90,516.0,437.0365710630131,21,94.0,310,418.64977022698787,3.0,850.0,2,40.0,3.0,2018,APPLUS SERVICES SA,-0.25120000000000003
1,75,76.0,865.0,4,191.0,2,34.0,20.0,54,603.0,766,418.64977022698787,3.0,661.0,56,57.0,645.0,2018,TELEPERFORMANCE SE,-0.042800000000000005
1,83,85.0,456.0,4,273.0,2,43.0,627.0,56,860.0,783,418.64977022698787,3.0,489.0,33,90.0,60.0,2018,SGS SA,-0.0213
1,93,12.0,582.0,4,522.0,2,56.0,694.0,60,89.0,820,418.64977022698787,3.0,428.0,1,5.0,662.0,2018,INTERTEK GROUP PLC,-0.0339
91,62,390.0,445.7999546896239,3,149.0,1,26.0,821.0,28,623.0,597,418.64977022698787,1.0,94.0,47,45.0,756.0,2018,THOMSON REUTERS CORP,-0.0191
1,9,50.0,902.0,2,690.0,1,45.0,917.0,33,926.0,493,418.64977022698787,3.0,953.0,59,658.0,333.03157793395593,2018,BUREAU VERITAS SA,-0.016
1,0,13.0,253.0,2,322.0,1,33.0,125.0,31,182.0,422,418.64977022698787,1.0,53.0,54,832.0,333.03157793395593,2018,SAGA PLC,-0.0404
87,22,235.0,445.7999546896239,2,278.0,1,15.0,583.0,26,851.0,406,418.64977022698787,9.0,169.0,7,84.0,892.0,2018,RELX PLC,-0.0039000000000000003
90,34,479.0,445.7999546896239,1,621.0,98,144.0,437.0365710630131,21,923.0,301,418.64977022698787,74.0,336.0,38,547.0,333.03157793395593,2018,CHINA PACIFIC INSURANCE (GROUP) COMPANY LIMITED,-0.002
80,75,632.0,445.7999546896239,2,773.0,1,0.0,989.0,21,725.0,542,418.64977022698787,30.0,725.0,6,36.0,700.0,2018,RANDSTAD NV,-0.0085
73,24,716.0,445.7999546896239,1,791.0,95,905.0,437.0365710630131,22,48.0,335,418.64977022698787,5.0,902.0,6,12.0,684.0,2018,DKSH HOLDING AG,-0.0334
70,55,116.0,445.7999546896239,1,761.0,93,611.0,437.0365710630131,21,818.0,316,418.64977022698787,4.0,795.0,38,364.0,333.03157793395593,2018,CAPITA PLC,-0.015300000000000001
43,64,530.0,445.7999546896239,1,469.0,60,266.0,437.0365710630131,13,633.0,278,418.64977022698787,87.0,64.0,21,22.0,753.0,2018,STANTEC INCORPORATED,-0.0355
44,7,54.0,445.7999546896239,1,50.0,51,330.0,437.0365710630131,11,652.0,195,418.64977022698787,3.0,913.0,20,486.0,333.03157793395593,2018,VIENNA INSURANCE GROUP,-0.011899999999999999
39,69,822.0,445.7999546896239,1,11.0,52,644.0,437.0365710630131,12,252.0,181,418.64977022698787,3.0,343.0,21,544.0,333.03157793395593,2018,EXPERIAN PLC,-0.0036
33,0,222.0,445.7999546896239,920,400.9971119806223,42,744.0,437.0365710630131,9,672.0,174,418.64977022698787,5.0,497.0,2,70.0,128.0,2018,WOLTERS KLUWER NV,-0.0038
29,88,221.0,445.7999546896239,1,81.0,39,189.0,437.0365710630131,8,655.0,207,418.64977022698787,5.0,59.0,15,212.0,333.03157793395593,2018,S&P GLOBAL INC,-0.0011
21,83,251.0,445.7999546896239,580,400.9971119806223,28,917.0,437.0365710630131,6,709.0,103,418.64977022698787,2.0,613.0,33,670.0,333.03157793395593,2018,LONDON STOCK EXCHANGE GROUP PLC,-0.0025
20,5,475.0,445.7999546896239,524,400.9971119806223,25,955.0,437.0365710630131,6,3.0,92,418.64977022698787,2.0,612.0,10,556.0,333.03157793395593,2018,HONG KONG EXCHANGES AND CLEARING LIMITED,-0.0017000000000000001
19,29,323.0,445.7999546896239,456,400.9971119806223,25,638.0,437.0365710630131,5,998.0,83,418.64977022698787,465.0,357.94894756277694,10,547.0,333.03157793395593,2018,RICARDO PLC,-0.042800000000000005
16,54,891.0,445.7999546896239,449,400.9971119806223,21,87.0,437.0365710630131,4,678.0,87,418.64977022698787,3.0,601.0,8,223.0,333.03157793395593,2018,BALOISE HOLDING AG,-0.003
15,74,815.0,445.7999546896239,390,400.9971119806223,20,794.0,437.0365710630131,4,821.0,70,418.64977022698787,1.0,584.0,8,477.0,333.03157793395593,2018,ASX LIMITED,-0.0034000000000000002
11,78,237.0,445.7999546896239,293,400.9971119806223,11,474.0,437.0365710630131,2,470.0,55,418.64977022698787,2.0,255.0,4,341.0,333.03157793395593,2018,UNIQA INSURANCE GROUP AG,-0.0042
9,24,29.0,445.7999546896239,305,400.9971119806223,11,70.0,437.0365710630131,2,243.0,63,418.64977022698787,4.0,759.0,3,943.0,333.03157793395593,2018,HELVETIA HOLDING AG,-0.0017000000000000001
8,73,687.0,445.7999546896239,198,400.9971119806223,11,509.0,437.0365710630131,2,683.0,36,418.64977022698787,881.0,357.94894756277694,4,718.0,333.03157793395593,2018,JSE LIMITED,
